,date,return_SPY,vol_SPY,RSI_SPY,label,return_AAPL,vol_AAPL,RSI_AAPL,return_MSFT,vol_MSFT,RSI_MSFT,return_XOM,vol_XOM,RSI_XOM,return_JNJ,vol_JNJ,RSI_JNJ,return_GE,vol_GE,RSI_GE,return_BRK-B,vol_BRK-B,RSI_BRK-B,return_AMZN,vol_AMZN,RSI_AMZN,return_WFC,vol_WFC,RSI_WFC,return_JPM,vol_JPM,RSI_JPM,return_T,vol_T,RSI_T
54,2000-03-21,-0.0091492,1.28154710,57.7917650,0.0,-0.0075910,2.56737632,55.4620976,-0.0202531,2.14135608,45.9363301,-0.0057424,2.36749808,50.8367785,-0.0196078,2.28861779,53.2236014,-0.0080428,1.95895753,54.3628447,-0.0205519,2.51473249,61.1311158,0.02559055,3.42111806,44.5536149,-0.0211038,2.75945743,54.9146675,-0.0395833,2.02925254,57.2950133,-0.0124653,2.66627763,55.9726338
55,2000-03-22,0.02770056,1.29749491,63.1242861,0.0,0.08337541,2.46239319,64.8491893,0.06266149,2.13102232,55.3233031,0.01650165,2.22695881,53.3786806,0.0352,2.29132062,57.7616144,0.08468479,1.96951387,65.4446713,0.07853713,2.52758404,69.0283381,0.08829174,3.24206945,53.0086344,0.04643449,2.75525636,59.2900987,0.04844550,2.14857104,62.7667970,-0.0042075,2.65822570,55.2514060
56,2000-03-23,-0.0027165,1.35695088,62.2704007,0.0,0.06942857,2.55512593,70.8236209,0.03890577,2.32819123,60.2297921,-0.0308441,2.21907123,48.2718578,0.00463678,2.37289406,58.3549300,0.00664441,2.13122532,66.1969663,0.00166763,2.78128899,69.1827607,-0.0194003,3.44066840,51.0056427,0.01109350,2.90459138,60.3266927,0.00413793,2.23401043,63.2212692,-0.0436619,2.58161651,48.3224085
57,2000-03-24,0.02493222,1.35442950,66.7092571,0.0,0.00308098,2.78289965,71.0748814,0.05441778,2.36392530,66.0623516,0.01507537,2.14698797,50.6789296,-0.1015384,2.37318701,43.7836470,0.04042914,2.14269377,70.4417046,-0.0044395,2.72200448,68.2061690,0.07374100,3.21043161,57.4581015,0.03761755,2.93069425,63.7361154,0.06593406,2.21310744,69.6124040,0.01472754,2.71245053,50.4798166
58,2000-03-27,0.00327064,1.37192399,67.2668649,0.0,-0.0337867,2.75665987,64.4952987,-0.0431465,2.37636660,58.3569270,0.01980198,2.17552370,53.7680030,-0.0273972,2.62025479,41.1040726,0.00079283,2.21815102,70.5230366,0.00613147,2.69960520,68.8571322,-0.0318257,3.37152724,53.9145436,-0.0120845,3.00730561,61.8287396,-0.0103093,2.36175722,67.5068519,0.00145137,2.75661865,50.7014569
59,2000-03-28,-0.0138549,1.37767866,62.4772472,0.0,-0.0027248,2.84713385,63.9981377,-0.0384224,2.48860456,52.7147898,-0.0210355,2.23060133,50.1066791,-0.0220070,2.62543960,39.0912383,-0.0063390,2.20840871,68.8895791,-0.0620498,2.64689833,56.2325735,0.00173010,3.41922681,54.0750779,-0.0091743,3.03108593,60.3695407,-0.0234375,2.39110955,62.8971379,-0.0101449,2.73195805,49.0466083
60,2000-03-29,0.00206611,1.37539292,62.8956554,0.0,0.01548270,2.72970384,65.6156240,0.01507840,2.50096644,54.5024259,0.03388429,2.23493052,55.2783113,0.00900090,2.66396254,40.3495311,0.00398714,2.19714646,69.3671361,-0.0153573,2.67210701,53.7680532,-0.0397236,3.36286525,49.7799977,-0.0061728,3.00085990,59.3636789,0.00533324,2.42919419,63.4937047,0.00585651,2.56736178,50.0498855
61,2000-03-30,-0.0092786,1.36961246,59.6710217,0.0,-0.0417041,2.60025728,57.9467162,0.00950683,2.50235168,55.6578338,0.04156674,2.20246431,60.8246040,0.00713648,2.66147163,41.3926379,0.02938850,2.20420567,72.7061099,-0.0017996,2.62160336,53.4768124,-0.0719424,3.39618579,43.3336176,0.0,2.93457392,59.3636789,-0.0510609,2.35831951,54.4232722,0.00145560,2.54468940,50.3132837
62,2000-03-31,-0.0035376,1.37361132,58.4519534,0.0,-0.0458586,2.66696427,51.1610462,-0.0017657,2.51733269,55.3738863,-0.0314658,2.28742957,55.0296917,0.00620017,2.57531087,42.3427215,-0.0169754,2.23686884,67.9625777,0.06490384,2.52453206,61.5508649,0.03488372,3.60478827,46.6798029,-0.0201863,2.90112911,55.8558238,-0.0160725,2.48949060,52.0322162,-0.0116279,2.51829142,48.1268397
63,2000-04-03,0.00334168,1.38391946,59.2949127,0.0,0.06326637,2.74728579,58.1141675,-0.1090801,2.49802959,41.3607502,-0.0142630,2.39231573,52.6577542,-0.0052816,2.56742153,41.7184469,-0.0251176,2.25075684,61.6609975,0.03555310,2.45795970,65.3306731,-0.0196629,3.65233882,45.0101120,0.03803486,2.90771049,60.4967651,-0.0007103,2.52763379,51.9253846,0.0,2.43837206,48.1268397
64,2000-04-04,0.01082431,1.35797193,61.9937637,0.0,-0.0212177,2.94189600,55.1016384,-0.0304434,2.81086879,38.7358420,0.02813504,2.36865678,56.5770307,0.03628318,2.48464107,47.4228619,0.02133665,2.23871538,64.5891903,-0.0326975,2.49607793,59.3468871,-0.0391595,3.58630294,41.8618241,0.06717557,2.82651136,67.2869268,0.04051172,2.42405869,57.3056281,0.05882352,2.36346569,58.5676584
65,2000-04-05,-0.0255354,1.30554412,52.9739849,0.0,-0.0464188,2.88176026,49.2180892,-0.0361774,2.74984684,35.9082142,0.02580140,2.41663051,59.9441147,0.03842869,2.58435360,52.8747509,-0.0405993,2.18897166,55.6876734,0.02535215,2.54680161,62.1471806,-0.0178926,3.54636278,40.5217588,-0.0057224,2.95450667,66.1733440,-0.0792348,2.47102734,46.0184488,0.02222222,2.48838922,61.8733699
66,2000-04-06,0.01606086,1.37987470,57.0943782,0.0,0.03286428,2.94237528,52.8764409,-0.0042492,2.81349581,35.5914652,-0.0175304,2.40973903,56.6471731,0.01644736,2.70710736,55.1030284,0.01355793,2.22529280,57.6991397,0.01373626,2.61085921,63.6454171,0.02732793,3.60279671,43.4462170,-0.0446043,2.92419883,58.1423254,0.03264085,2.67483731,50.0382482,0.00135869,2.45060647,62.0770237
67,2000-04-07,0.00873544,1.40729724,59.2208473,0.0,-0.0258373,2.93187103,49.7427383,-0.0099573,2.80092214,34.8196606,0.00543056,2.40353093,57.4148488,-0.0129449,2.62859859,52.9461547,0.02229448,2.26247270,60.8859635,0.00813006,2.62578224,64.5520024,0.02660098,3.40166118,46.2901909,-0.0361445,2.96339083,52.7997167,0.01436772,2.77825547,51.7953950,0.02035278,2.40305213,65.0893246
68,2000-04-10,0.00123711,1.39983559,59.5294295,0.0,0.03487228,2.94696008,53.6336141,0.01867816,2.81864020,37.5290391,-0.0246913,2.41590052,52.8109967,-0.0188524,2.56341520,49.9211480,0.01110220,2.31600465,62.4374104,-0.0134408,2.52619507,61.7864781,0.03262955,3.34270787,49.7191801,-0.05,3.07758345,46.6452325,-0.0311613,2.79917882,47.8114682,-0.0212765,2.41798468,59.6468449
69,2000-04-11,-0.0115321,1.35926828,55.3216837,0.0,-0.0621737,2.92710965,46.4830372,-0.0394922,2.72468511,34.2288091,-0.0007911,2.42642784,52.6688667,0.01587301,2.60041694,52.3434324,-0.0066667,2.26292153,60.8590192,-0.0065395,2.44362332,60.4477968,-0.0706319,3.40822314,43.0959700,0.03453947,3.22541773,50.7060000,0.01754385,2.89761167,50.0675140,0.00679347,2.46575852,60.7512974
70,2000-04-12,0.0025,1.33054219,56.0387604,0.0,-0.0364372,3.03030673,43.0832062,-0.0352422,2.80092426,31.6589398,0.01346001,2.31169408,54.8914299,0.02220394,2.59545662,55.6279747,0.02724042,2.16278917,64.7536204,-0.0126165,2.45419846,57.8602317,0.024,3.61549403,45.5621668,0.04769475,3.26564294,55.8728666,0.01077586,2.91537459,51.4792864,0.03508771,2.35437081,65.9674687
71,2000-04-13,-0.0193269,1.30059654,49.4188151,0.0,-0.0630251,3.00500224,38.0836129,-0.0152207,2.84119602,30.6271315,-0.0007812,2.27152679,54.7286287,-0.0209171,2.62396352,51.9172554,-0.0322828,2.18022576,57.2812460,0.05333328,2.39940668,64.6601546,-0.0957031,3.61342332,38.2687857,0.02731411,3.32084035,58.6719392,-0.0220327,2.85743554,48.4316201,-0.0130378,2.21362679,62.5255892
72,2000-04-14,-0.0328456,1.33928566,40.7737385,0.0,-0.0196188,2.97786967,36.7442817,-0.0216383,2.81057418,29.1926691,-0.0015637,2.24649137,54.3812391,-0.0123253,2.65908523,49.8511950,-0.0595710,2.23477700,46.8781680,-0.0158227,2.50063594,61.3296041,-0.1727861,3.79996301,29.8636305,-0.0132939,3.15983950,56.7341450,-0.0465114,2.90479540,42.7983410,-0.0356671,2.01267638,54.2893501
73,2000-04-17,-0.0521472,1.40671014,31.6253283,1.0,0.00171527,2.98749145,36.9489649,-0.0616113,2.77605343,25.5961763,-0.0148786,2.22977395,51.0650861,0.00665557,2.64309224,50.9718205,-0.0244931,2.28428333,43.5822340,-0.0150053,2.53070260,58.3106877,-0.0548302,4.28929518,28.1178215,-0.0748502,3.11627918,47.3731568,-0.0548780,2.99772176,37.5121465,-0.0465753,1.93776829,46.0611353
74,2000-04-18,0.03975959,1.57163351,41.7901098,1.0,0.12785381,2.96317884,49.9670602,0.03030303,2.93744931,29.8893826,-0.0333863,2.17043690,44.5918516,0.05785123,2.60635493,59.4998589,0.05844155,2.31128233,52.0354258,0.02013062,2.51315298,61.0398528,0.05248618,4.45229996,31.9916074,0.00647249,3.35976333,48.1107706,0.00967741,3.14253882,38.8674060,-0.0545977,2.02433811,38.9548605
75,2000-04-19,0.02801244,1.68493188,47.9004268,1.0,0.02176111,3.37778415,52.0152196,0.06454248,3.03411913,38.3026091,0.00328947,2.19726520,45.3029934,0.01875,2.68779565,61.9439901,0.02126779,2.45531130,54.8420929,0.01279998,2.56876076,62.7435760,0.16141732,4.52122343,42.7468449,0.04983922,3.38133831,53.5450296,0.03194867,3.15470175,43.2831096,0.00759878,2.13152914,40.2608435
76,2000-04-20,-0.0064878,1.69422823,46.6449548,1.0,-0.0198117,3.35640134,49.9661422,-0.0345356,3.16907002,35.6763965,0.01557377,1.95981879,48.6728253,0.00766871,2.61731693,62.9473589,0.0,2.35331953,54.8420929,-0.0063190,2.60455459,61.3001608,-0.0350282,4.97578728,40.9875031,0.01378254,3.36728889,55.0179125,-0.0325077,3.15383122,40.0147909,0.01357466,2.02773360,42.6396306
77,2000-04-24,-0.0143665,1.69677089,43.9177657,1.0,-0.0702375,3.36818453,43.5463495,-0.1446740,3.23089117,27.4721642,0.01533494,1.99022598,51.8664042,-0.0076103,2.47975218,61.2093975,0.00600720,2.35172043,55.7091420,0.00794910,2.56363455,62.4626348,-0.0749414,5.07937287,37.5513342,0.01057401,3.26084974,56.1815905,-0.0271997,3.17963135,37.5433511,-0.0193452,2.03318147,40.1525215
78,2000-04-25,0.02208480,1.67331761,48.8020804,1.0,0.06195648,3.57990343,49.2998103,0.02230483,3.56450425,29.7658291,0.02066772,1.95587238,55.9092078,0.02684049,2.42589467,64.8657345,0.03343949,2.35735597,60.3054912,0.02523656,2.51293860,65.9838652,0.04936708,5.10430999,40.8078733,0.02840059,3.16859191,59.2621632,-0.0032895,3.21738762,37.2518367,0.03945371,2.08255986,46.8320526
79,2000-04-26,0.02311982,1.66371175,53.4714703,0.0,0.03684746,3.77444080,52.5864478,0.01818181,3.57398656,31.7041383,0.00934579,1.87893147,57.6761099,0.00448095,2.37492158,65.4666676,0.02388299,2.42106546,63.3303459,0.00102566,2.45817163,66.1264506,0.02895054,5.10777649,42.7851753,0.00145348,3.13699795,59.4238508,0.03960396,3.12939488,42.9739011,0.05109489,2.18900960,54.2365892
80,2000-04-27,-0.0335794,1.67752639,46.6612087,1.0,-0.0745310,3.87252883,45.8705332,-0.0366071,3.60044836,29.8834173,-0.0169753,1.85017127,53.4473152,-0.0215613,2.28513039,60.1147697,-0.0338600,2.48452594,56.5890928,-0.0266393,2.39722276,59.1807061,-0.0750293,5.09685643,39.0399989,-0.0232220,3.06966443,55.6200740,-0.0460318,3.13795094,38.4153304,-0.0277777,2.15730570,49.9552852
81,2000-04-28,0.02797202,1.73187157,51.9651604,0.0,0.08480003,3.96714705,52.7180363,0.04911955,3.58516757,35.0740740,0.01020408,1.81524149,55.5225437,0.00607902,2.33669401,61.0604731,0.00545180,2.52667671,57.3496451,0.01052635,2.47248897,60.8825763,0.09505703,5.28072896,45.1043316,0.00594353,3.10211305,56.3719475,-0.0116471,3.18269479,37.3844814,-0.0057142,2.16418400,49.1201476
