#Feature,SGDClassifier,GaussianNB,RandomForestClassifier,SVC,SGDClassifier_preproccessed,GaussianNB_preproccessed,RandomForestClassifier_preproccessed,SVC_preproccessed
MSFT_pol,0.54373110904440825,0.55652319228086489,0.5256103231806557,0.43016594977912115,0.42129591955359214,0.55652319228086489,0.57485468495698666,0.57945971867007662
MSFT_subj,0.57925482445942811,0.57337247151825166,0.56839688444547776,0.45501627528481753,0.41296500813764236,0.57337247151825166,0.5465712915601022,0.50793420134852363
MSFT_prpr,0.4612655487096024,0.48720137758660781,0.50378981632178566,0.44592028016740298,0.50577990583585208,0.48720137758660781,0.48513790397581957,0.41778728784003716
MSFT_nrpr,0.5821582190188328,0.55866949546617062,0.55053475935828877,0.54857881887933035,0.51426703092304116,0.55866949546617062,0.55271957102999303,0.42674668681701933
MSFT_sdpr,0.56723145780051154,0.56528278307370383,0.61720675424319926,0.46355208091141592,0.44340269704719831,0.56528278307370383,0.62289729132759819,0.51313575331318295
XOM_pol,0.55742777842362234,0.43050671355498721,0.3965763775866078,0.51292649965124393,0.43796864101371769,0.43050671355498721,0.44874084515229012,0.55470748081841426
XOM_subj,0.56835764938386413,0.55247762148337587,0.52695812020460353,0.44969047895838177,0.499758777028598,0.55247762148337587,0.50481138107416879,0.4516711229946524
XOM_prpr,0.51465429551267139,0.55240133108579403,0.52605280748663108,0.52083599744245535,0.47452917926063709,0.55240133108579403,0.50938081260172052,0.4444366135782376
XOM_nrpr,0.54814287375029058,0.53734741920483609,0.51875435945129034,0.46233143455010461,0.46363854336200883,0.53734741920483609,0.50931614740757969,0.54331187514531509
XOM_sdpr,0.48416066031155547,0.52369943036503142,0.46689795977679605,0.47853696814694258,0.49586360730062778,0.52369943036503142,0.51818908393396879,0.48851139269937233
JNJ_pol,0.42557108811904215,0.42403074866310159,0.45565566147407577,0.42392539525691697,0.42528699720995122,0.42403074866310159,0.41335735875377821,0.47090865496396195
JNJ_subj,0.52693850267379683,0.47495640548709606,0.4349148453847943,0.52107068123692168,0.49659090909090908,0.47495640548709606,0.44970283073703793,0.43437282027435486
JNJ_prpr,0.43190609741920483,0.4282310799813997,0.5032296268309695,0.44827438386421764,0.53247427923738666,0.4282310799813997,0.54844803534061848,0.44471852476168328
JNJ_nrpr,0.4309012438967682,0.3818559637293652,0.50764211811206694,0.52208643338758431,0.43699285049988373,0.3818559637293652,0.52128356777493612,0.47351052080911415
JNJ_sdpr,0.40910689374564047,0.41669233899093233,0.40710953847942344,0.41668652638921183,0.46904934898860728,0.41669233899093233,0.46235032550569632,0.47103871192745866
GE_pol,0.48515243548012094,0.48703717158800275,0.44295076726342708,0.48259925017437799,0.54216679260637057,0.48703717158800275,0.44119972099511739,0.4967703731690305
GE_subj,0.45829603580562656,0.47602592420367362,0.50901098581725168,0.51665165077888864,0.46738694489653565,0.47602592420367362,0.50733405022087885,0.51494710532434318
GE_prpr,0.48120640548709603,0.48968335852127415,0.50722215763775869,0.51231181701929795,0.48986064287375031,0.48968335852127415,0.48711636828644506,0.46832204719832599
GE_nrpr,0.46081289235061612,0.47041821669379213,0.56687834224598932,0.48410689374564059,0.46672721460125555,0.47041821669379213,0.56209093815391764,0.47986369448965344
GE_sdpr,0.4850136596140433,0.49228231806556622,0.48090705649848864,0.5127295977679609,0.52643571262497091,0.49228231806556622,0.51473639851197395,0.49545309230411527
BRK.B_pol,0.52559288537549409,0.51282550569634977,0.45459268193443397,0.53128196930946292,0.53128196930946292,0.51282550569634977,0.4072112590095327,0.46820652173913035
BRK.B_subj,0.53752397698209731,0.4954044117647059,0.54232954545454548,0.47718190537084404,0.56872602301790287,0.4954044117647059,0.49628865380144155,0.46477708672401763
